observation_date,Year,Month,FEDFUNDS
01/01/1971,1971,1,4.14
01/02/1971,1971,2,3.72
01/03/1971,1971,3,3.71
01/04/1971,1971,4,4.16
01/05/1971,1971,5,4.63
01/06/1971,1971,6,4.91
01/07/1971,1971,7,5.31
01/08/1971,1971,8,5.57
01/09/1971,1971,9,5.55
01/10/1971,1971,10,5.2
01/11/1971,1971,11,4.91
01/12/1971,1971,12,4.14
01/01/1972,1972,1,3.51
01/02/1972,1972,2,3.3
01/03/1972,1972,3,3.83
01/04/1972,1972,4,4.17
01/05/1972,1972,5,4.27
01/06/1972,1972,6,4.46
01/07/1972,1972,7,4.55
01/08/1972,1972,8,4.81
01/09/1972,1972,9,4.87
01/10/1972,1972,10,5.05
01/11/1972,1972,11,5.06
01/12/1972,1972,12,5.33
01/01/1973,1973,1,5.94
01/02/1973,1973,2,6.58
01/03/1973,1973,3,7.09
01/04/1973,1973,4,7.12
01/05/1973,1973,5,7.84
01/06/1973,1973,6,8.49
01/07/1973,1973,7,10.4
01/08/1973,1973,8,10.5
01/09/1973,1973,9,10.78
01/10/1973,1973,10,10.01
01/11/1973,1973,11,10.03
01/12/1973,1973,12,9.95
01/01/1974,1974,1,9.65
01/02/1974,1974,2,8.97
01/03/1974,1974,3,9.35
01/04/1974,1974,4,10.51
01/05/1974,1974,5,11.31
01/06/1974,1974,6,11.93
01/07/1974,1974,7,12.92
01/08/1974,1974,8,12.01
01/09/1974,1974,9,11.34
01/10/1974,1974,10,10.06
01/11/1974,1974,11,9.45
01/12/1974,1974,12,8.53
01/01/1975,1975,1,7.13
01/02/1975,1975,2,6.24
01/03/1975,1975,3,5.54
01/04/1975,1975,4,5.49
01/05/1975,1975,5,5.22
01/06/1975,1975,6,5.55
01/07/1975,1975,7,6.1
01/08/1975,1975,8,6.14
01/09/1975,1975,9,6.24
01/10/1975,1975,10,5.82
01/11/1975,1975,11,5.22
01/12/1975,1975,12,5.2
01/01/1976,1976,1,4.87
01/02/1976,1976,2,4.77
01/03/1976,1976,3,4.84
01/04/1976,1976,4,4.82
01/05/1976,1976,5,5.29
01/06/1976,1976,6,5.48
01/07/1976,1976,7,5.31
01/08/1976,1976,8,5.29
01/09/1976,1976,9,5.25
01/10/1976,1976,10,5.02
01/11/1976,1976,11,4.95
01/12/1976,1976,12,4.65
01/01/1977,1977,1,4.61
01/02/1977,1977,2,4.68
01/03/1977,1977,3,4.69
01/04/1977,1977,4,4.73
01/05/1977,1977,5,5.35
01/06/1977,1977,6,5.39
01/07/1977,1977,7,5.42
01/08/1977,1977,8,5.9
01/09/1977,1977,9,6.14
01/10/1977,1977,10,6.47
01/11/1977,1977,11,6.51
01/12/1977,1977,12,6.56
01/01/1978,1978,1,6.7
01/02/1978,1978,2,6.78
01/03/1978,1978,3,6.79
01/04/1978,1978,4,6.89
01/05/1978,1978,5,7.36
01/06/1978,1978,6,7.6
01/07/1978,1978,7,7.81
01/08/1978,1978,8,8.04
01/09/1978,1978,9,8.45
01/10/1978,1978,10,8.96
01/11/1978,1978,11,9.76
01/12/1978,1978,12,10.03
01/01/1979,1979,1,10.07
01/02/1979,1979,2,10.06
01/03/1979,1979,3,10.09
01/04/1979,1979,4,10.01
01/05/1979,1979,5,10.24
01/06/1979,1979,6,10.29
01/07/1979,1979,7,10.47
01/08/1979,1979,8,10.94
01/09/1979,1979,9,11.43
01/10/1979,1979,10,13.77
01/11/1979,1979,11,13.18
01/12/1979,1979,12,13.78
01/01/1980,1980,1,13.82
01/02/1980,1980,2,14.13
01/03/1980,1980,3,17.19
01/04/1980,1980,4,17.61
01/05/1980,1980,5,10.98
01/06/1980,1980,6,9.47
01/07/1980,1980,7,9.03
01/08/1980,1980,8,9.61
01/09/1980,1980,9,10.87
01/10/1980,1980,10,12.81
01/11/1980,1980,11,15.85
01/12/1980,1980,12,18.9
01/01/1981,1981,1,19.08
01/02/1981,1981,2,15.93
01/03/1981,1981,3,14.7
01/04/1981,1981,4,15.72
01/05/1981,1981,5,18.52
01/06/1981,1981,6,19.1
01/07/1981,1981,7,19.04
01/08/1981,1981,8,17.82
01/09/1981,1981,9,15.87
01/10/1981,1981,10,15.08
01/11/1981,1981,11,13.31
01/12/1981,1981,12,12.37
01/01/1982,1982,1,13.22
01/02/1982,1982,2,14.78
01/03/1982,1982,3,14.68
01/04/1982,1982,4,14.94
01/05/1982,1982,5,14.45
01/06/1982,1982,6,14.15
01/07/1982,1982,7,12.59
01/08/1982,1982,8,10.12
01/09/1982,1982,9,10.31
01/10/1982,1982,10,9.71
01/11/1982,1982,11,9.2
01/12/1982,1982,12,8.95
01/01/1983,1983,1,8.68
01/02/1983,1983,2,8.51
01/03/1983,1983,3,8.77
01/04/1983,1983,4,8.8
01/05/1983,1983,5,8.63
01/06/1983,1983,6,8.98
01/07/1983,1983,7,9.37
01/08/1983,1983,8,9.56
01/09/1983,1983,9,9.45
01/10/1983,1983,10,9.48
01/11/1983,1983,11,9.34
01/12/1983,1983,12,9.47
01/01/1984,1984,1,9.56
01/02/1984,1984,2,9.59
01/03/1984,1984,3,9.91
01/04/1984,1984,4,10.29
01/05/1984,1984,5,10.32
01/06/1984,1984,6,11.06
01/07/1984,1984,7,11.23
01/08/1984,1984,8,11.64
